###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.265E-01  0.000E+00  0.300E+00  0.237E-03  0.000000E+00  0.000000E+00
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.263E-01  0.000E+00  0.300E+00  0.237E-03  0.000000E+00  0.000000E+00
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.263E-01  0.000E+00  0.300E+00  0.237E-03  0.000000E+00  0.000000E+00
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
###############################################################################################
#  Itn.    time          dt         CFL#       D#         visc       DilMin        DilMax     #
###############################################################################################
0  900000  0.169528E+05  0.229E-01  0.120E+01  0.262E+00  0.237E-03 -0.270607E+02  0.371705E+01
0  900010  0.169530E+05  0.239E-01  0.120E+01  0.272E+00  0.237E-03 -0.491104E+01  0.262304E+01
0  900020  0.169533E+05  0.238E-01  0.120E+01  0.271E+00  0.237E-03 -0.812313E+01  0.269659E+01
